Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Alabama","Autauga",1001,55869,12548,163,22459.68,2917.54,0.0130
"US","Alabama","Baldwin",1003,223234,46147,604,20672.03,2705.68,0.0131
"US","Alabama","Barbour",1005,24685,4645,83,18817.10,3362.37,0.0179
"US","Alabama","Bibb",1007,22394,5236,95,23381.26,4242.21,0.0181
"US","Alabama","Blount",1009,57826,12438,203,21509.36,3510.53,0.0163
"US","Alabama","Bullock",1011,10101,1992,46,19720.82,4554.00,0.0231
"US","Alabama","Butler",1013,19448,4207,102,21632.04,5244.76,0.0242
"US","Alabama","Calhoun",1015,113605,26236,537,23094.05,4726.90,0.0205
"US","Alabama","Chambers",1017,33254,7320,147,22012.39,4420.52,0.0201
"US","Alabama","Cherokee",1019,26196,3941,66,15044.28,2519.47,0.0167
"US","Alabama","Chilton",1021,44427,8556,176,19258.56,3961.55,0.0206
"US","Alabama","Choctaw",1023,12589,1313,30,10429.74,2383.03,0.0228
"US","Alabama","Clarke",1025,23621,5763,89,24397.78,3767.83,0.0154
"US","Alabama","Clay",1027,13235,3159,70,23868.53,5289.01,0.0222
"US","Alabama","Cleburne",1029,14909,2904,61,19478.17,4091.49,0.0210
"US","Alabama","Coffee",1031,52342,11136,201,21275.46,3840.13,0.0180
"US","Alabama","Colbert",1033,55240,11971,217,21670.89,3928.31,0.0181
"US","Alabama","Conecuh",1035,12066,2350,62,19476.21,5138.41,0.0264
"US","Alabama","Coosa",1037,10663,2294,48,21513.65,4501.55,0.0209
"US","Alabama","Covington",1039,37049,7874,203,21252.94,5479.23,0.0258
"US","Alabama","Crenshaw",1041,13772,3158,80,22930.58,5808.89,0.0253
"US","Alabama","Cullman",1043,83768,19279,318,23014.76,3796.20,0.0165
"US","Alabama","Dale",1045,49172,10590,198,21536.65,4026.68,0.0187
"US","Alabama","Dallas",1047,37195,6649,215,17876.06,5780.35,0.0323
"US","Alabama","DeKalb",1049,71513,15009,284,20987.79,3971.31,0.0189
"US","Alabama","Elmore",1051,81208,18906,301,23280.96,3706.53,0.0159
"US","Alabama","Escambia",1053,36633,8499,150,23200.39,4094.67,0.0176
"US","Alabama","Etowah",1055,102268,23318,532,22800.88,5202.02,0.0228
"US","Alabama","Fayette",1057,16302,3753,86,23021.72,5275.43,0.0229
"US","Alabama","Franklin",1059,31362,7429,115,23687.90,3666.86,0.0155
"US","Alabama","Geneva",1061,26271,5096,139,19397.82,5291.01,0.0273
"US","Alabama","Greene",1063,8110,1551,47,19124.54,5795.31,0.0303
"US","Alabama","Hale",1065,14651,3869,92,26407.75,6279.43,0.0238
"US","Alabama","Henry",1067,17205,3709,67,21557.69,3894.22,0.0181
"US","Alabama","Houston",1069,105882,20910,441,19748.40,4165.01,0.0211
"US","Alabama","Jackson",1071,51625,11712,206,22686.68,3990.31,0.0176
"US","Alabama","Jefferson",1073,658572,152028,2036,23084.49,3091.54,0.0134
"US","Alabama","Lamar",1075,13804,2840,60,20573.75,4346.57,0.0211
"US","Alabama","Lauderdale",1077,92729,18576,324,20032.57,3494.05,0.0174
"US","Alabama","Lawrence",1079,32924,5801,139,17619.37,4221.84,0.0240
"US","Alabama","Lee",1081,164542,31855,272,19359.80,1653.07,0.0085
"US","Alabama","Limestone",1083,98914,19852,233,20069.96,2355.58,0.0117
"US","Alabama","Lowndes",1085,9726,2242,68,23051.61,6991.57,0.0303
"US","Alabama","Macon",1087,18068,3212,69,17777.29,3818.91,0.0215
"US","Alabama","Madison",1089,372909,69311,785,18586.57,2105.07,0.0113
"US","Alabama","Marengo",1091,18863,3990,93,21152.52,4930.29,0.0233
"US","Alabama","Marion",1093,29709,6261,133,21074.42,4476.76,0.0212
"US","Alabama","Marshall",1095,96773,21649,331,22370.91,3420.38,0.0153
"US","Alabama","Mobile",1097,413209,94959,1409,22980.86,3409.90,0.0148
"US","Alabama","Monroe",1099,20733,4195,66,20233.44,3183.33,0.0157
"US","Alabama","Montgomery",1101,226486,46028,806,20322.67,3558.72,0.0175
"US","Alabama","Morgan",1103,119679,27755,435,23191.20,3634.72,0.0157
"US","Alabama","Out of AL",80001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Perry",1105,8923,1718,40,19253.61,4482.80,0.0233
"US","Alabama","Pickens",1107,19930,4132,92,20732.56,4616.16,0.0223
"US","Alabama","Pike",1109,33114,6124,114,18493.69,3442.65,0.0186
"US","Alabama","Randolph",1111,22722,4247,69,18691.14,3036.70,0.0162
"US","Alabama","Russell",1113,57961,8515,68,14690.91,1173.20,0.0080
"US","Alabama","Shelby",1117,217701,48163,387,22123.46,1777.67,0.0080
"US","Alabama","St. Clair",1115,89511,20929,369,23381.48,4122.40,0.0176
"US","Alabama","Sumter",1119,12427,1795,42,14444.36,3379.74,0.0234
"US","Alabama","Talladega",1121,79977,17655,313,22075.10,3913.63,0.0177
"US","Alabama","Tallapoosa",1123,40366,9200,208,22791.46,5152.85,0.0226
"US","Alabama","Tuscaloosa",1125,209354,44252,670,21137.40,3200.32,0.0151
"US","Alabama","Unassigned",90001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Walker",1127,63521,13985,392,22016.34,6171.19,0.0280
"US","Alabama","Washington",1129,16326,2939,52,18001.96,3185.10,0.0177
"US","Alabama","Wilcox",1131,10372,2255,38,21741.23,3663.71,0.0169
"US","Alabama","Winston",1133,23629,5473,114,23162.22,4824.58,0.0208
