FIPS,County,State
72009,Aibonito Municipio,PR
06063,Plumas,CA
12037,Franklin,FL
53073,Whatcom,WA
53067,Thurston,WA
21055,Crittenden,KY
39025,Clermont,OH
17197,Will,IL
56043,Washakie,WY
18025,Crawford,IN
41047,Marion,OR
36115,Washington,NY
20139,Osage,KS
33015,Rockingham,NH
48055,Caldwell,TX
46007,Bennett,SD
48507,Zavala,TX
72005,Aguadilla Municipio,PR
11001,District of Columbia,DC
08041,El Paso,CO
46071,Jackson,SD
42125,Washington,PA
48347,Nacogdoches,TX
55073,Marathon,WI
72107,Orocovis Municipio,PR
30001,Beaverhead,MT
26041,Delta,MI
35057,Torrance,NM
55131,Washington,WI
12071,Lee,FL
40119,Payne,OK
28089,Madison,MS
17039,De Witt,IL
28127,Simpson,MS
21097,Harrison,KY
17165,Saline,IL
24035,Queen Anne's,MD
05071,Johnson,AR
41057,Tillamook,OR
16035,Clearwater,ID
13303,Washington,GA
04019,Pima,AZ
29007,Audrain,MO
51107,Loudoun,VA
53005,Benton,WA
39089,Licking,OH
27151,Swift,MN
72131,San Sebastian Municipio,PR
31005,Arthur,NE
48233,Hutchinson,TX
31179,Wayne,NE
26061,Houghton,MI
12013,Calhoun,FL
20161,Riley,KS
21169,Metcalfe,KY
54017,Doddridge,WV
13181,Lincoln,GA
21209,Scott,KY
25017,Middlesex,MA
12105,Polk,FL
39009,Athens,OH
18101,Martin,IN
13251,Screven,GA
36039,Greene,NY
13115,Floyd,GA
72097,Mayaguez Municipio,PR
18051,Gibson,IN
30099,Teton,MT
18137,Ripley,IN
39007,Ashtabula,OH
18027,Daviess,IN
51091,Highland,VA
19043,Clayton,IA
25011,Franklin,MA
19051,Davis,IA
48263,Kent,TX
56001,Albany,WY
13007,Baker,GA
45045,Greenville,SC
48341,Moore,TX
51113,Madison,VA
49007,Carbon,UT
56025,Natrona,WY
29035,Carter,MO
45041,Florence,SC
48475,Ward,TX
08113,San Miguel,CO
51027,Buchanan,VA
13103,Effingham,GA
19143,Osceola,IA
16059,Lemhi,ID
45043,Georgetown,SC
12127,Volusia,FL
47013,Campbell,TN
48179,Gray,TX
20063,Gove,KS
13077,Coweta,GA
30031,Gallatin,MT
42119,Union,PA
13177,Lee,GA
22039,Evangeline,LA
31111,Lincoln,NE
48241,Jasper,TX
09015,Windham,CT
29103,Knox,MO
27045,Fillmore,MN
37009,Ashe,NC
41043,Linn,OR
38049,McHenry,ND
18073,Jasper,IN
22009,Avoyelles,LA
05025,Cleveland,AR
39055,Geauga,OH
19033,Cerro Gordo,IA
31149,Rock,NE
17041,Douglas,IL
51590,Danville city,VA
47007,Bledsoe,TN
17181,Union,IL
45069,Marlboro,SC
36113,Warren,NY
27047,Freeborn,MN
72043,Coamo Municipio,PR
46121,Todd,SD
01123,Tallapoosa,AL
31045,Dawes,NE
51177,Spotsylvania,VA
30109,Wibaux,MT
26161,Washtenaw,MI
42061,Huntingdon,PA
37065,Edgecombe,NC
17033,Crawford,IL
26075,Jackson,MI
18017,Cass,IN
48483,Wheeler,TX
17101,Lawrence,IL
17013,Calhoun,IL
05141,Van Buren,AR
22055,Lafayette,LA
13239,Quitman,GA
21003,Allen,KY
24043,Washington,MD
28079,Leake,MS
13291,Union,GA
40043,Dewey,OK
46089,McPherson,SD
40121,Pittsburg,OK
13307,Webster,GA
36075,Oswego,NY
19001,Adair,IA
21233,Webster,KY
12083,Marion,FL
40145,Wagoner,OK
17191,Wayne,IL
37155,Robeson,NC
38097,Traill,ND
06061,Placer,CA
18085,Kosciusko,IN
05041,Desha,AR
37071,Gaston,NC
42043,Dauphin,PA
72039,Ciales Municipio,PR
31139,Pierce,NE
05099,Nevada,AR
72013,Arecibo Municipio,PR
48327,Menard,TX
21175,Morgan,KY
41071,Yamhill,OR
12031,Duval,FL
51001,Accomack,VA
34005,Burlington,NJ
20147,Phillips,KS
55067,Langlade,WI
36023,Cortland,NY
28101,Newton,MS
17123,Marshall,IL
32017,Lincoln,NV
40021,Cherokee,OK
06109,Tuolumne,CA
41009,Columbia,OR
48143,Erath,TX
54103,Wetzel,WV
01119,Sumter,AL
05103,Ouachita,AR
08051,Gunnison,CO
51540,Charlottesville city,VA
21123,Larue,KY
27153,Todd,MN
48021,Bastrop,TX
53053,Pierce,WA
51169,Scott,VA
26027,Cass,MI
19105,Jones,IA
17103,Lee,IL
54083,Randolph,WV
37171,Surry,NC
54093,Tucker,WV
26099,Macomb,MI
21115,Johnson,KY
54049,Marion,WV
12051,Hendry,FL
46117,Stanley,SD
48257,Kaufman,TX
51073,Gloucester,VA
29045,Clark,MO
39085,Lake,OH
09009,New Haven,CT
48017,Bailey,TX
48285,Lavaca,TX
40045,Ellis,OK
19055,Delaware,IA
47175,Van Buren,TN
18009,Blackford,IN
55095,Polk,WI
47025,Claiborne,TN
19113,Linn,IA
51820,Waynesboro city,VA
13013,Barrow,GA
48219,Hockley,TX
51530,Buena Vista city,VA
08043,Fremont,CO
28137,Tate,MS
37083,Halifax,NC
41021,Gilliam,OR
55049,Iowa,WI
41037,Lake,OR
35043,Sandoval,NM
39165,Warren,OH
17189,Washington,IL
17055,Franklin,IL
36085,Richmond,NY
40005,Atoka,OK
12035,Flagler,FL
48349,Navarro,TX
48409,San Patricio,TX
13053,Chattahoochee,GA
39143,Sandusky,OH
20041,Dickinson,KS
21005,Anderson,KY
48457,Tyler,TX
08125,Yuma,CO
31083,Harlan,NE
47073,Hawkins,TN
19057,Des Moines,IA
21105,Hickman,KY
28163,Yazoo,MS
05033,Crawford,AR
05055,Greene,AR
39151,Stark,OH
19089,Howard,IA
40117,Pawnee,OK
47159,Smith,TN
02170,Matanuska-Susitna,AK
39103,Medina,OH
23017,Oxford,ME
08091,Ouray,CO
05031,Craighead,AR
13133,Greene,GA
22117,Washington,LA
13119,Franklin,GA
40013,Bryan,OK
06087,Santa Cruz,CA
05075,Lawrence,AR
48203,Harrison,TX
47171,Unicoi,TN
01003,Baldwin,AL
04015,Mohave,AZ
08011,Bent,CO
27139,Scott,MN
46011,Brookings,SD
20025,Clark,KS
08067,La Plata,CO
21185,Oldham,KY
47001,Anderson,TN
01031,Coffee,AL
37043,Clay,NC
20185,Stafford,KS
48343,Morris,TX
29085,Hickory,MO
47127,Moore,TN
31183,Wheeler,NE
05037,Cross,AR
34011,Cumberland,NJ
20003,Anderson,KS
23009,Hancock,ME
56045,Weston,WY
51159,Richmond,VA
55097,Portage,WI
01069,Houston,AL
48211,Hemphill,TX
22059,La Salle,LA
17003,Alexander,IL
24015,Cecil,MD
22019,Calcasieu,LA
21191,Pendleton,KY
40063,Hughes,OK
06035,Lassen,CA
45019,Charleston,SC
05143,Washington,AR
48137,Edwards,TX
46063,Harding,SD
16029,Caribou,ID
31119,Madison,NE
31129,Nuckolls,NE
27007,Beltrami,MN
28035,Forrest,MS
48353,Nolan,TX
08075,Logan,CO
26081,Kent,MI
53019,Ferry,WA
25009,Essex,MA
47111,Macon,TN
13055,Chattooga,GA
48121,Denton,TX
48363,Palo Pinto,TX
08079,Mineral,CO
39119,Muskingum,OH
20019,Chautauqua,KS
16001,Ada,ID
40029,Coal,OK
05105,Perry,AR
42001,Adams,PA
21133,Letcher,KY
19137,Montgomery,IA
18119,Owen,IN
47053,Gibson,TN
33003,Carroll,NH
26165,Wexford,MI
29189,St. Louis,MO
08063,Kit Carson,CO
20195,Trego,KS
29113,Lincoln,MO
48395,Robertson,TX
12089,Nassau,FL
46109,Roberts,SD
72017,Barceloneta Municipio,PR
18055,Greene,IN
41053,Polk,OR
21045,Casey,KY
30081,Ravalli,MT
26089,Leelanau,MI
10005,Sussex,DE
39087,Lawrence,OH
29037,Cass,MO
31061,Franklin,NE
20037,Crawford,KS
37197,Yadkin,NC
16021,Boundary,ID
51101,King William,VA
02070,Dillingham,AK
40057,Harmon,OK
05015,Carroll,AR
55051,Iron,WI
26151,Sanilac,MI
26131,Ontonagon,MI
26005,Allegan,MI
17157,Randolph,IL
18001,Adams,IN
36045,Jefferson,NY
37049,Craven,NC
08009,Baca,CO
51580,Covington city,VA
53065,Stevens,WA
28029,Copiah,MS
49043,Summit,UT
05113,Polk,AR
46053,Gregory,SD
47055,Giles,TN
31143,Polk,NE
39137,Putnam,OH
42085,Mercer,PA
22025,Catahoula,LA
01011,Bullock,AL
13153,Houston,GA
36099,Seneca,NY
05007,Benton,AR
05043,Drew,AR
06021,Glenn,CA
45051,Horry,SC
51021,Bland,VA
39171,Williams,OH
39065,Hardin,OH
21171,Monroe,KY
47097,Lauderdale,TN
30107,Wheatland,MT
13009,Baldwin,GA
21073,Franklin,KY
46111,Sanborn,SD
29185,St. Clair,MO
13157,Jackson,GA
16067,Minidoka,ID
19095,Iowa,IA
36103,Suffolk,NY
06027,Inyo,CA
42025,Carbon,PA
34033,Salem,NJ
28129,Smith,MS
55078,Menominee,WI
51173,Smyth,VA
05073,Lafayette,AR
53061,Snohomish,WA
05051,Garland,AR
42081,Lycoming,PA
29017,Bollinger,MO
72119,Rio Grande Municipio,PR
36033,Franklin,NY
12095,Orange,FL
55063,La Crosse,WI
05001,Arkansas,AR
12055,Highlands,FL
21071,Floyd,KY
19111,Lee,IA
30111,Yellowstone,MT
13273,Terrell,GA
13285,Troup,GA
53017,Douglas,WA
31029,Chase,NE
29123,Madison,MO
20181,Sherman,KS
21087,Green,KY
45055,Kershaw,SC
20133,Neosho,KS
45089,Williamsburg,SC
19175,Union,IA
18053,Grant,IN
54027,Hampshire,WV
37159,Rowan,NC
48335,Mitchell,TX
31021,Burt,NE
56031,Platte,WY
49023,Juab,UT
13287,Turner,GA
13065,Clinch,GA
22061,Lincoln,LA
48331,Milam,TX
22077,Pointe Coupee,LA
27069,Kittson,MN
54037,Jefferson,WV
19129,Mills,IA
30059,Meagher,MT
13045,Carroll,GA
29087,Holt,MO
18083,Knox,IN
54057,Mineral,WV
38103,Wells,ND
38027,Eddy,ND
47075,Haywood,TN
28009,Benton,MS
39061,Hamilton,OH
39017,Butler,OH
47147,Robertson,TN
37123,Montgomery,NC
21107,Hopkins,KY
01133,Winston,AL
37021,Buncombe,NC
37111,McDowell,NC
42127,Wayne,PA
20123,Mitchell,KS
29143,New Madrid,MO
40115,Ottawa,OK
28105,Oktibbeha,MS
